iter	Passed	Remaining
275	533	1399
276	534	1395
277	536	1392
278	537	1388
279	538	1385
280	539	1381
281	540	1377
282	542	1374
283	543	1371
284	545	1368
285	547	1367
286	548	1363
287	549	1359
288	551	1355
289	552	1351
290	553	1347
291	554	1343
292	555	1339
293	556	1336
294	557	1332
295	558	1329
296	560	1325
297	562	1324
298	563	1321
299	564	1317
300	565	1314
301	567	1311
302	568	1307
303	569	1304
304	570	1300
305	571	1297
306	572	1293
307	574	1289
308	576	1288
309	577	1285
310	578	1282
311	579	1278
312	580	1274
313	581	1271
314	583	1268
315	584	1265
316	585	1261
317	586	1258
318	587	1254
319	588	1251
320	591	1251
321	592	1248
322	593	1244
323	595	1241
324	596	1238
325	597	1235
326	599	1232
327	601	1231
328	602	1228
329	603	1225
330	605	1224
331	607	1221
332	608	1218
333	609	1214
334	610	1211
335	611	1208
336	612	1205
337	613	1201
338	614	1198
339	615	1195
340	616	1192
341	618	1189
342	619	1187
343	621	1184
344	622	1181
345	623	1178
346	625	1176
347	626	1173
348	627	1170
349	628	1167
350	629	1164
351	630	1161
352	631	1158
353	632	1154
354	634	1153
355	636	1150
356	637	1148
357	639	1145
358	640	1143
359	641	1140
360	642	1137
361	643	1134
362	645	1132
363	646	1129
364	647	1126
365	649	1125
366	651	1123
367	653	1121
368	654	1119
369	655	1116
370	657	1114
371	658	1111
372	659	1108
373	660	1106
374	664	1107
375	666	1106
376	668	1103
377	669	1101
378	670	1098
379	671	1095
380	672	1093
381	674	1090
382	675	1088
383	677	1086
384	680	1086
385	682	1086
386	684	1083
387	685	1081
388	686	1078
389	688	1076
390	689	1073
391	691	1071
392	692	1069
393	699	1076
394	701	1074
395	702	1071
396	703	1068
397	704	1065
398	705	1062
399	706	1060
400	710	1061
401	712	1059
402	713	1057
403	714	1054
404	715	1051
405	716	1048
406	718	1046
407	719	1043
408	720	1041
409	721	1038
410	722	1035
411	726	1037
412	728	1035
413	729	1032
414	731	1030
415	732	1028
416	733	1025
417	735	1023
418	737	1022
419	739	1021
420	742	1020
421	743	1018
422	744	1015
423	745	1013
424	747	1011
425	748	1008
426	749	1005
427	751	1004
428	753	1002
429	755	1001
430	757	999
431	758	997
432	759	994
433	761	992
434	762	990
435	763	987
436	764	985
437	765	982
438	766	980
439	769	979
440	771	977
441	772	974
442	773	972
443	774	969
444	775	967
445	776	964
446	777	961
447	780	961
448	781	959
449	786	961
450	788	959
451	790	957
452	791	955
453	792	953
454	794	951
455	795	949
456	796	946
457	797	944
458	799	942
459	801	940
460	802	937
461	803	935
462	804	932
463	805	930
464	806	927
465	807	925
466	808	922
467	809	920
468	810	918
469	811	915
470	814	914
471	815	912
472	817	910
473	818	907
474	819	905
475	820	903
476	821	901
477	823	898
478	824	896
479	825	893
480	826	891
481	827	889
482	829	888
483	830	885
484	831	883
485	832	880
486	834	878
487	835	876
488	836	874
489	837	871
490	838	869
491	839	867
492	840	864
493	841	862
494	844	861
495	845	859
496	847	857
497	848	855
498	850	853
499	851	851
500	852	849
501	854	847
502	855	845
503	856	842
504	859	842
505	861	840
506	862	838
507	864	837
508	865	835
509	867	833
510	868	830
511	869	828
512	871	826
513	875	827
514	876	825
515	878	824
516	880	822
517	882	821
518	884	819
519	886	817
520	891	819
521	893	817
522	894	815
523	897	815
524	899	814
525	901	812
526	905	813
527	908	811
528	910	810
529	911	808
530	912	806
531	914	804
532	915	802
533	916	799
534	920	799
535	922	798
536	923	796
537	925	794
538	928	793
539	929	791
540	931	790
541	932	788
542	937	789
543	939	787
544	941	785
545	943	784
546	945	782
547	949	782
548	951	781
549	953	780
550	955	778
551	957	776
552	958	774
553	959	772
554	961	770
555	964	770
556	965	768
557	967	766
558	968	764
559	970	762
560	972	760
561	973	758
562	974	756
563	976	754
564	980	754
565	982	753
566	983	751
567	984	748
568	985	746
569	986	744
570	987	742
571	988	739
572	989	737
573	990	735
574	995	736
575	998	734
576	1000	733
577	1002	732
578	1004	730
579	1006	728
580	1010	728
581	1012	727
582	1015	726
583	1016	724
584	1018	722
585	1020	721
586	1024	720
587	1026	719
588	1028	717
589	1030	716
590	1031	714
591	1033	712
592	1035	710
593	1037	709
594	1039	707
595	1041	705
596	1042	704
597	1045	702
598	1046	700
599	1047	698
600	1049	696
601	1050	694
602	1052	692
603	1054	691
604	1055	689
605	1057	687
606	1058	685
607	1059	683
608	1060	681
609	1062	679
610	1064	677
611	1065	675
612	1068	674
613	1070	672
614	1071	670
615	1072	668
616	1073	666
617	1074	664
618	1075	662
619	1077	660
620	1078	658
621	1079	655
622	1080	653
623	1082	652
624	1084	650
625	1085	648
626	1087	646
627	1088	644
628	1089	642
629	1090	640
630	1091	638
631	1092	636
632	1093	634
633	1094	632
634	1095	629
635	1098	628
636	1099	626
637	1100	624
638	1101	622
639	1102	620
640	1104	618
641	1105	616
642	1106	614
643	1107	612
644	1108	610
645	1109	608
646	1110	605
647	1113	604
648	1114	602
649	1115	600
650	1116	598
651	1117	596
652	1118	594
653	1119	592
654	1120	590
655	1122	588
656	1123	586
657	1124	584
658	1125	582
659	1128	581
660	1129	579
661	1130	577
662	1131	575
663	1133	573
664	1134	571
665	1136	569
666	1138	568
667	1139	566
668	1142	565
669	1144	563
670	1145	561
671	1146	559
672	1147	557
673	1149	555
674	1150	553
675	1151	551
676	1152	549
677	1154	548
678	1156	546
679	1158	545
680	1159	543
681	1161	541
682	1162	539
683	1163	537
684	1164	535
685	1166	533
686	1167	531
687	1168	529
688	1169	527
689	1171	526
690	1173	524
691	1174	522
692	1175	520
693	1176	518
694	1178	517
695	1179	515
696	1180	513
697	1181	511
698	1182	509
699	1183	507
700	1184	505
701	1187	504
702	1188	502
703	1190	500
704	1191	498
705	1192	496
706	1193	494
707	1194	492
708	1196	490
709	1197	488
710	1198	487
711	1199	485
712	1201	483
713	1202	481
714	1204	480
715	1205	478
716	1206	476
717	1207	474
718	1208	472
719	1209	470
720	1210	468
721	1211	466
722	1213	464
723	1214	462
724	1216	461
725	1218	459
726	1219	457
727	1220	456
728	1221	454
729	1222	452
730	1223	450
731	1224	448
732	1226	446
733	1227	444
734	1228	442
735	1229	440
736	1231	439
737	1233	437
738	1234	436
739	1236	434
740	1237	432
741	1238	430
742	1239	428
743	1241	427
744	1242	425
745	1243	423
746	1246	422
747	1248	420
748	1249	418
749	1250	416
750	1251	414
751	1252	413
752	1253	411
753	1254	409
754	1255	407
755	1256	405
756	1257	403
757	1258	401
758	1261	400
759	1262	398
760	1263	396
761	1264	394
762	1265	393
763	1266	391
764	1267	389
765	1268	387
766	1269	385
767	1271	383
768	1273	382
769	1275	380
770	1276	379
771	1277	377
772	1278	375
773	1279	373
774	1280	371
775	1281	369
776	1282	368
777	1283	366
778	1284	364
779	1286	362
780	1289	361
781	1290	359
782	1291	357
783	1292	356
784	1293	354
785	1294	352
786	1295	350
787	1296	348
788	1297	347
789	1298	345
790	1300	343
791	1301	341
792	1303	340
793	1304	338
794	1305	336
795	1307	334
796	1308	333
797	1309	331
798	1310	329
799	1311	327
800	1312	326
801	1313	324
802	1314	322
803	1316	320
804	1318	319
805	1319	317
806	1320	315
807	1321	314
808	1323	312
809	1324	310
810	1326	309
811	1328	307
812	1329	305
813	1332	304
814	1334	302
815	1335	301
816	1336	299
817	1338	297
818	1339	296
819	1340	294
820	1342	292
821	1343	290
822	1344	289
823	1346	287
824	1348	286
825	1349	284
826	1350	282
827	1351	280
828	1352	279
829	1354	277
830	1355	275
831	1356	273
832	1357	272
833	1358	270
834	1359	268
835	1362	267
836	1363	265
837	1364	263
838	1365	262
839	1366	260
840	1368	258
841	1381	259
842	1388	258
843	1395	257
844	1398	256
845	1400	254
846	1403	253
847	1405	251
848	1411	250
849	1414	249
850	1420	248
851	1428	248
852	1431	246
853	1437	245
854	1439	244
855	1442	242
856	1444	240
857	1446	239
858	1448	237
859	1453	236
860	1455	234
861	1457	233
862	1459	231
863	1460	229
864	1462	228
865	1463	226
866	1466	224
867	1468	223
868	1469	221
869	1471	219
870	1472	218
871	1474	216
872	1475	214
873	1476	212
874	1478	211
875	1482	209
876	1486	208
877	1488	206
878	1492	205
879	1496	204
880	1498	202
881	1499	200
882	1501	198
883	1502	197
884	1504	195
885	1505	193
886	1507	191
887	1508	190
888	1512	188
889	1514	187
890	1516	185
891	1518	183
892	1520	182
893	1521	180
894	1523	178
895	1527	177
896	1528	175
897	1530	173
898	1532	172
899	1533	170
900	1535	168
901	1536	166
902	1538	165
903	1541	163
904	1543	162
905	1545	160
906	1547	158
907	1549	156
908	1551	155
909	1553	153
910	1554	151
911	1557	150
912	1558	148
913	1560	146
914	1561	145
915	1562	143
916	1564	141
917	1565	139
918	1567	138
919	1568	136
920	1571	134
921	1572	133
922	1574	131
923	1575	129
924	1576	127
925	1578	126
926	1579	124
927	1581	122
928	1583	120
929	1586	119
930	1587	117
931	1589	115
932	1591	114
933	1593	112
934	1597	111
935	1601	109
936	1603	107
937	1604	106
938	1606	104
939	1610	102
940	1611	101
941	1613	99
942	1616	97
943	1618	96
944	1619	94
945	1621	92
946	1623	90
947	1624	89
948	1626	87
949	1627	85
950	1629	83
951	1631	82
952	1633	80
953	1634	78
954	1636	77
955	1638	75
956	1639	73
957	1641	71
958	1642	70
959	1643	68
960	1646	66
961	1647	65
962	1649	63
963	1651	61
964	1652	59
965	1653	58
966	1655	56
967	1656	54
968	1658	53
969	1661	51
970	1663	49
971	1665	47
972	1666	46
973	1667	44
974	1669	42
975	1670	41
976	1672	39
977	1673	37
978	1675	35
979	1677	34
980	1678	32
981	1680	30
982	1681	29
983	1683	27
984	1684	25
985	1686	23
986	1687	22
987	1691	20
988	1693	18
989	1694	17
990	1696	15
991	1697	13
992	1699	11
993	1700	10
994	1701	8
995	1703	6
996	1706	5
997	1709	3
998	1710	1
999	1711	0
